XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,SBIL,SBILErr,Leading,,,
1_2,XY,247,295.1770892,0.420493449,7.423876923,0.012519852,1,,,
1_2,XY,248,293.1236407,0.371936305,8.110747854,0.01200985,0,,,
1_2,XY,249,289.0394749,0.357554071,7.780013262,0.011616551,0,,,
1_2,XY,250,291.9996647,0.390601007,7.688801425,0.012457898,0,,,
1_2,XY,251,291.0320421,0.324279946,8.356508574,0.010941165,0,,,
1_2,XY,252,288.7296938,0.413032176,7.63507648,0.012904325,0,,,
1_2,XY,253,292.0847673,0.371836103,7.756364853,0.011918593,0,,,
1_2,XY,254,289.5153041,0.406418609,8.10556078,0.013430338,0,,,
1_2,XY,259,299.5147804,0.36629808,8.248479348,0.011291461,1,,,
1_2,XY,260,292.713826,0.366707024,8.907551814,0.013008435,0,,,
1_2,XY,261,291.1334313,0.356055052,8.364874435,0.0121963,0,,,
1_2,XY,262,289.1351197,0.445083808,8.106224795,0.01493836,0,,,
1_2,XY,263,290.5667132,0.389988695,8.639182564,0.013220855,0,,,
1_2,XY,264,288.766016,0.341677458,7.867744058,0.010448474,0,,,
1_2,XY,265,288.8204638,0.401332324,7.901073621,0.012647527,0,,,
1_2,XY,266,289.9901191,0.355027552,7.884791622,0.011704196,0,,,
1_2,XY,274,296.5940931,0.461825576,7.679703243,0.013922328,1,,,
1_2,XY,275,290.6786694,0.348910933,8.605340059,0.012073862,0,,,
1_2,XY,276,291.6329811,0.330908844,8.613403056,0.011263164,0,,,
1_2,XY,277,291.7668728,0.388170344,8.929996285,0.013852157,0,,,
1_2,XY,278,289.3204363,0.413674634,7.80702001,0.012647905,0,,,
1_2,XY,279,289.8400038,0.344805933,7.79965495,0.01052723,0,,,
1_2,XY,280,294.5938306,0.470034857,7.505375696,0.013596106,0,,,
1_2,XY,281,292.2810966,0.306433208,8.282921404,0.010590433,0,,,
1_2,XY,286,297.8606278,0.333453933,8.359194027,0.010965729,1,,,
1_2,XY,287,294.6237188,0.376762571,8.872755028,0.013368767,0,,,
1_2,XY,288,291.9809483,0.357880196,8.728561863,0.012433722,0,,,
1_2,XY,289,289.0123503,0.364696278,8.726248788,0.012939625,0,,,
1_2,XY,290,292.3177985,0.362734742,8.298481871,0.012369092,0,,,
1_2,XY,291,290.7692493,0.436415908,7.819010252,0.013968318,0,,,
1_2,XY,292,290.6289722,0.407765045,8.067661291,0.013011653,0,,,
1_2,XY,293,290.1523363,0.377419205,8.541615855,0.012601244,0,,,
1_2,XY,298,294.8618139,0.468124673,7.383443142,0.013219692,1,,,
1_2,XY,299,291.0984617,0.315921787,8.304882109,0.010849775,0,,,
1_2,XY,300,291.0344593,0.443413686,7.921858639,0.014391752,0,,,
1_2,XY,301,292.6195496,0.309809657,8.110426896,0.009660192,0,,,
1_2,XY,302,290.396625,0.394031653,7.892580175,0.012322697,0,,,
1_2,XY,303,289.6001389,0.346959795,7.846407074,0.010962085,0,,,
1_2,XY,304,290.0558954,0.407124941,8.005124213,0.012913582,0,,,
1_2,XY,305,288.6816505,0.378037655,8.481147628,0.01274349,0,,,
1_2,XY,310,297.9823235,0.385567524,7.733452556,0.011667733,1,,,
1_2,XY,311,291.102209,0.343988326,8.575444604,0.011882332,0,,,
1_2,XY,312,289.960524,0.307772741,8.312265709,0.010370637,0,,,
1_2,XY,313,289.9530537,0.387212697,8.328816559,0.013475139,0,,,
1_2,XY,314,289.9255903,0.412108592,8.201564822,0.013210726,0,,,
1_2,XY,315,290.4374656,0.366004678,8.028336069,0.011957186,0,,,
1_2,XY,316,289.2452297,0.434758561,8.180433591,0.014530124,0,,,
1_2,XY,317,290.3265438,0.355707876,8.49099939,0.011904638,0,,,
1_2,XY,349,297.858849,0.326736973,9.163932042,0.012171352,1,,,
1_2,XY,350,290.6855983,0.429898475,9.270436111,0.015956204,0,,,
1_2,XY,351,290.1161346,0.413356838,9.233364033,0.015839458,0,,,
1_2,XY,352,290.5675958,0.288322276,9.553690989,0.011086234,0,,,
1_2,XY,353,292.1056377,0.256192089,8.709482163,0.009180247,0,,,
1_2,XY,354,290.3875207,0.402223829,8.870592938,0.014276957,0,,,
1_2,XY,355,293.9105498,0.375136473,8.482121731,0.012599149,0,,,
1_2,XY,356,291.6007717,0.38307917,9.192160028,0.014008768,0,,,
1_2,XY,361,296.7473306,0.370193304,8.575738063,0.012601493,1,,,
1_2,XY,362,290.8385886,0.333330465,8.904093347,0.011969483,0,,,
1_2,XY,363,291.7300161,0.259517534,9.05440912,0.010006125,0,,,
1_2,XY,364,288.5452981,0.395621255,8.681686615,0.014141101,0,,,
1_2,XY,365,288.8363014,0.365222934,8.755492741,0.01290325,0,,,
1_2,XY,366,289.2332054,0.377529612,8.069214158,0.012466784,0,,,
1_2,XY,367,292.6882693,0.3676838,8.427365456,0.012566244,0,,,
1_2,XY,368,289.600536,0.37421244,8.651842391,0.012833909,0,,,
1_2,XY,373,299.0141688,0.394677231,7.886868256,0.012538657,1,,,
1_2,XY,374,293.4074863,0.394063691,8.389964581,0.013461544,0,,,
1_2,XY,375,290.0171964,0.42984717,8.046496508,0.014168921,0,,,
1_2,XY,376,289.6409457,0.390553506,8.124824792,0.012898504,0,,,
1_2,XY,377,291.2739703,0.409196674,8.370998676,0.01398998,0,,,
1_2,XY,378,289.5480441,0.334442195,8.059435137,0.010205902,0,,,
1_2,XY,379,287.8414,0.416176559,8.198793734,0.014355196,0,,,
1_2,XY,380,290.0609829,0.352295213,8.316925451,0.011823838,0,,,
1_2,XY,385,298.2353009,0.357145507,8.593313761,0.012683217,1,,,
1_2,XY,386,290.3945721,0.339182461,9.26533778,0.012558833,0,,,
1_2,XY,387,290.4907535,0.374325067,8.861660593,0.013595139,0,,,
1_2,XY,388,289.313719,0.378893757,8.517994891,0.013171601,0,,,
1_2,XY,389,290.2889006,0.335133634,7.907989956,0.010449217,0,,,
1_2,XY,390,289.027185,0.391637316,7.414184965,0.011659554,0,,,
1_2,XY,391,289.6815035,0.394923948,7.83880964,0.012289582,0,,,
1_2,XY,392,289.6949043,0.452961604,7.693000414,0.013474345,0,,,
1_2,XY,400,298.5029916,0.400915011,7.692659031,0.01181122,1,,,
1_2,XY,401,292.5071593,0.37124515,8.691854464,0.012728688,0,,,
1_2,XY,402,289.6188799,0.35072986,8.525745937,0.012146186,0,,,
1_2,XY,403,291.1863121,0.268518837,8.763044399,0.009200792,0,,,
1_2,XY,404,292.807903,0.366443098,8.021570919,0.011783194,0,,,
1_2,XY,405,290.8746025,0.338000537,8.03817479,0.010370014,0,,,
1_2,XY,406,287.1210683,0.34337265,7.678702017,0.01071086,0,,,
1_2,XY,407,289.2496834,0.465511611,8.546700369,0.016415311,0,,,
1_2,XY,412,298.2194383,0.379808373,7.741578726,0.011417089,1,,,
1_2,XY,413,292.0616939,0.375182958,8.500414175,0.012942675,0,,,
1_2,XY,414,290.511866,0.342398938,8.342897943,0.011391881,0,,,
1_2,XY,415,291.3152094,0.39570299,8.045148592,0.013023582,0,,,
1_2,XY,416,290.0560327,0.305432042,8.272950039,0.010455633,0,,,
1_2,XY,417,288.8184227,0.405539816,7.787845017,0.012675972,0,,,
1_2,XY,418,289.0472645,0.38537557,7.771706263,0.012117891,0,,,
1_2,XY,419,290.2703243,0.377952341,8.12367407,0.011528325,0,,,
1_2,XY,424,295.946658,0.385053621,7.605889812,0.011697643,1,,,
1_2,XY,425,294.2499394,0.399282894,8.133737218,0.012902796,0,,,
1_2,XY,426,291.4086496,0.387535608,7.905727198,0.011980628,0,,,
1_2,XY,427,288.6326091,0.355733995,7.874408682,0.011040382,0,,,
1_2,XY,428,290.0347675,0.396240859,7.952906389,0.012557874,0,,,
1_2,XY,429,288.5255595,0.397293747,7.552522088,0.012085412,0,,,
1_2,XY,430,290.1042173,0.390533223,7.661642226,0.012404833,0,,,
1_2,XY,431,294.0516919,0.358655957,7.832235883,0.011622114,0,,,
1_2,XY,436,294.5983622,0.450828187,7.968289607,0.014072598,1,,,
1_2,XY,437,292.8692628,0.379251603,8.742350958,0.013072469,0,,,
1_2,XY,438,290.2174492,0.345644614,8.402421133,0.011839178,0,,,
