Fill,nbx,lumi,iLumi,run1,slope,err,,,,,
5427,2208,239.06,42.863,283478,-0.010646845,0.00055477,group5,-0.001543389,,,
5437,2208,234.769,43.310,283672,-0.013038024,0.000273801,group5,-0.011749754,,,
5439,2208,422.386,43.545,283818,-0.012589343,0.000165427,group5,-0.01205493,,,
5441,2208,300.902,43.968,283860,-0.010743785,0.000497835,group5,-0.01260399,,,y=0.04454943-0.0012999*iLumi
5442,2208,449.481,44.268,283876,-0.01279653,0.000329244,group5,-0.012995132,,,
5443,2208,468.155,44.718,283884,-0.013600413,0.000308237,group5,-0.013579412,,,
5446,2208,344.558,45.186,283933,-0.015447123,0.000602876,group5,-0.014187967,,,
5448,2208,385.032,45.531,283946,-0.014495744,0.000218237,group5,-0.014635858,,,
5450,2208,114.031,45.916,284006,-0.106714544,0.021970554,group5,-0.015136361,,,
5451,2208,389.708,46.030,284025,-0.014910971,0.000264516,group4,-0.01528459,,,
