Fill,nbx,lumi,iLumi,Run1,Ratio,CorrRatio,CorrEff,FitEff,,
5151,578,58.521,24.040,277981,1.042656489,1.061556607,0.942012883,0.943435539,Group 2,eff=1.03007726-0.0036041*iLumi
5154,2064,378.191,24.098,278017,1.042786428,1.061688901,0.941895502,0.943224624,,
5161,2064,349.225,24.476,278167,1.038685052,1.05751318,0.945614692,0.941861586,,
5162,2064,42.225,24.826,278193,1.04377466,1.062695047,0.941003727,0.940602944,,
5163,2064,363.16,24.868,278239,1.042093802,1.06098372,0.942521531,0.940450761,,
5169,2064,33.743,25.231,278273,1.044079749,1.063005666,0.940728758,0.939141896,,
5170,2064,26.637,25.265,278288,1.038265723,1.05708625,0.945996602,0.939020283,,
5173,2064,447.036,25.291,278308,1.053633638,1.072732737,0.932198641,0.93892428,,
5179,2064,154.376,25.739,278315,1.055837832,1.074976886,0.93025256,0.937313118,,
5181,2064,381.474,25.893,278345,1.050222133,1.069259392,0.935226763,0.936756731,,
5183,2161,321.061,26.274,278406,1.04847395,1.06747952,0.936786122,0.935381861,,
5187,2160,302.705,26.595,278509,1.050308597,1.069347424,0.935149773,0.934224725,,
5197,2160,185.414,26.904,278769,1.053184241,1.072275194,0.932596413,0.933112424,,
5198,2160,455.192,27.089,278801,1.05349523,1.07259182,0.932321113,0.932444173,,
5199,2208,527.14,27.545,278819,1.053414281,1.072509404,0.932392757,0.930803616,,
5205,1728,231.249,28.072,278873,1.045664343,1.064618984,0.939303183,0.948694614,Group 3,Eff=1.20194981-0.0090217*iLumi
5206,2208,109.598,28.303,278923,1.044479155,1.063412312,0.940369026,0.946608355,,
5209,2208,44.002,28.413,278957,1.043124506,1.062033107,0.941590232,0.945619595,,
5211,2208,438.907,28.591,278969,1.041736511,1.060619952,0.942844794,0.944012947,,
5213,2208,39.498,29.030,278986,1.043730419,1.062650004,0.941043614,0.94005326,,
5219,2028,175.294,29.069,279024,1.043969081,1.062892992,0.940828482,0.939696921,,
5222,2028,77.926,29.244,279071,1.038706774,1.057535296,0.945594917,0.938115471,,
5223,2028,41.651,29.322,279080,1.040817981,1.059684772,0.943676861,0.937412446,,
5229,2208,219.715,29.364,279115,1.053288459,1.072381301,0.932504137,0.937036683,,
5247,578,9.143,29.584,279479,1.048595543,1.067603317,0.936677494,0.935054255,,
5251,2208,249.42,29.593,279588,1.047100641,1.066081317,0.93801475,0.93497177,,
5253,2208,453.045,29.842,279653,1.049290953,1.068311333,0.936056718,0.932721577,,
5254,2208,220.182,30.295,279667,1.05356391,1.072661745,0.932260337,0.928634341,,
5256,2208,100.125,30.516,279681,1.056972689,1.076132315,0.92925376,0.926647925,,
5257,2208,436.122,30.616,279691,1.059424207,1.078628271,0.927103458,0.925744627,,
5258,2208,421.897,31.052,279715,1.062587469,1.081848873,0.924343524,0.921810066,,
5261,2208,549.631,31.474,279760,1.071061003,1.090476006,0.917030723,0.918003837,,
5264,2208,236.373,32.023,279794,1.074641945,1.094121859,0.913974976,0.913045231,,
5265,2208,86.449,32.260,279823,1.075543219,1.095039471,0.913209091,0.910912745,,
5266,2208,400.045,32.346,279841,1.07788523,1.097423935,0.911224886,0.910132828,,
5267,2208,74.282,32.746,279844,1.084110261,1.103761807,0.905992574,0.906523742,,
5270,2208,80.803,32.820,279887,1.084711451,1.104373894,0.905490437,0.905853592,,
5274,2208,490.927,32.901,279931,1.083815769,1.103461976,0.906238748,0.905124612,,
5275,2208,100.807,33.392,279966,1.094881028,1.114727814,0.897079975,0.900695616,,
5276,2208,254.81,33.493,279975,1.095069725,1.114919931,0.896925395,0.899786165,,
5277,2208,606.765,33.748,279993,1.102079564,1.122056837,0.891220451,0.897487346,,
5279,2208,344.761,34.355,280186,1.104512326,1.124533697,0.889257478,0.892013294,,
5282,2208,465.785,34.701,280234,1.106513242,1.126570884,0.887649427,0.88888502,,
5287,2208,569.141,35.167,280327,1.10456726,1.124589627,0.889213252,0.884682847,,
5288,2208,423.723,35.736,280383,1.056130311,1.075274667,0.92999494,0.94168059,Group4,eff=1.09083291-0.0041737*iLumi
5331,157,12.148,36.160,281613,1.051921409,1.051921409,0.950641361,0.93991072,,
5338,1165,91.584,36.183,281636,1.053154558,1.053154558,0.949528246,0.939814813,,
5339,2208,505.022,36.275,281663,1.061753576,1.061753576,0.941838128,0.939432569,,
5340,2208,499.56,36.780,281707,1.069118277,1.069118277,0.935350205,0.937324758,,
5345,2208,417.206,37.279,281797,1.07538653,1.07538653,0.929898201,0.935239745,,
5351,2208,418.678,37.697,281974,1.070700084,1.070700084,0.933968359,0.933498452,,
5352,2208,385.186,38.115,282033,1.073934611,1.073934611,0.931155389,0.931751016,,
5355,2208,408.149,38.501,282092,1.084331008,1.084331008,0.922227616,0.930143365,,
5391,2208,44.292,38.955,282707,1.074313695,1.074313695,0.93082682,0.928247257,,
5393,2208,504.65,38.999,282730,1.078751141,1.078751141,0.926997861,0.928062396,,
5394,2208,469.689,39.504,282796,1.080918303,1.080918303,0.925139298,0.925956138,,
5395,2208,27.755,39.973,282829,1.088945064,1.088945064,0.918319971,0.923995797,,
5401,2208,222.733,40.001,282917,1.088092394,1.088092394,0.919039601,0.923879956,,
5405,2208,179.801,40.224,283039,1.088128004,1.088128004,0.919009525,0.922950335,,
5406,2208,269.844,40.404,283049,1.090455282,1.090455282,0.917048151,0.9221999,,
5416,2208,621.773,40.681,283270,1.061083859,1.061083859,0.942432581,0.921042086,,
5418,2112,379.369,41.303,283305,1.081836801,1.081836801,0.924353839,0.918446992,,
5421,2208,467.966,41.682,283353,1.089719993,1.089719993,0.91766693,0.91686362,,
5423,2208,567.878,42.150,283407,1.090149246,1.090149246,0.917305592,0.914909969,,
5424,2208,138.508,42.718,283453,1.104798981,1.104798981,0.905142037,0.912539817,,
5427,2208,239.06,42.863,283478,1.100530621,1.100530621,0.908652591,0.930153341,Group5,eff=1.28129725-0.0081923*iLumi
5433,2028,208.659,43.102,283548,1.071075237,1.071075237,0.933641228,0.92819489,,
5437,2208,234.769,43.310,283672,1.073115332,1.073115332,0.931866287,0.926485493,,
5439,2208,422.386,43.545,283818,1.074954888,1.074954888,0.930271597,0.924562195,,
5441,2208,300.902,43.968,283860,1.079909112,1.079909112,0.926003854,0.921101882,,
5442,2208,449.481,44.268,283876,1.080518082,1.080518082,0.925481967,0.918636802,,
5443,2208,468.155,44.718,283884,1.087704949,1.087704949,0.919366967,0.914954519,,
5446,2208,344.558,45.186,283933,1.099477101,1.099477101,0.909523263,0.911119253,,
5448,2208,385.032,45.531,283946,1.107843896,1.107843896,0.902654249,0.908296531,,
5450,2208,114.031,45.916,284006,1.10964255,1.10964255,0.901191109,0.905142233,,
